web-scraper-order,web-scraper-start-url,books,books-href,title,author,num_reviews,num_ratings,avg_rating,num_pages,original_publish_year,series,genres,places,awards
"1618238564-3372","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Under the Never Sky (Under the Never Sky, #1)","https://www.goodreads.com/book/show/11594257-under-the-never-sky","Under the Never Sky","Veronica Rossi","8,908
    reviews","112,171
  ratings","3.99","374 pages","Published
        February 7th 2012
         by Atom

            
              (first published December 1st 2011)","Other books in the series","Fantasy","Reverie","Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2012), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2012)"
"1618238643-3673","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Anthem","https://www.goodreads.com/book/show/667.Anthem","Anthem","Ayn Rand","9,500
    reviews","135,378
  ratings","3.63","105 pages","Published
        December 1st 1999
         by NAL

            
              (first published May 1938)","null","Novels","null","Prometheus Hall of Fame Award (1987), Retro Hugo Award Nominee for Best Novella (2014)"
"1618238713-3924","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Animal Farm","https://www.goodreads.com/book/show/170448.Animal_Farm","Animal Farm","George Orwell","60,944
    reviews","2,908,184
  ratings","3.96","141 pages","Published
        April 1996
         by Signet Classics

            
              (first published August 17th 1945)","null","Classics","null","Prometheus Hall of Fame Award (2011), Retro Hugo Award for Best Novella (1996)"
"1618238583-3438","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Day of the Triffids","https://www.goodreads.com/book/show/530965.The_Day_of_the_Triffids","The Day of the Triffids","John Wyndham","3,650
    reviews","93,024
  ratings","4.02","228 pages","Published
        July 1st 2003
         by Modern Library

            
              (first published 1951)","Other books in the series","Apocalyptic","London, England

(United Kingdom)


    

    United Kingdom","International Fantasy Award Nominee for Fiction (1952)"
"1618238627-3612","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Shatter Me (Shatter Me, #1)","https://www.goodreads.com/book/show/10429045-shatter-me","Shatter Me","Tahereh Mafi","30,646
    reviews","316,820
  ratings","3.94","338 pages","Published
        November 15th 2011
         by Harper","Other books in the series","Fantasy","null","Arab American Book Award Nominee for Children's/Young Adult (2013)"
"1618238504-3135","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Windup Girl","https://www.goodreads.com/book/show/6597651-the-windup-girl","The Windup Girl","Paolo Bacigalupi","6,505
    reviews","69,191
  ratings","3.75","359 pages","Published
        September 1st 2009
         by Night Shade Books","null","Fiction","Bangkok

(Thailand)","Hugo Award for Best Novel (2010), Nebula Award for Best Novel (2009), Locus Award for Best First Novel (2010), Kurd-Laßwitz-Preis for Bestes ausländisches Werk (2012), British Science Fiction Association Award Nominee for Novel (2010)
                      ...more
                          John W. Campbell Memorial Award for Best Science Fiction Novel (2010), Compton Crook Award (2010), Grand Prix de l'Imaginaire for Roman étranger et Traduction (2013), Premio Ignotus for Mejor novela extranjera (2012), Prix Bob Morane for roman traduit (2013), Cena Akademie SFFH for Kniha roku (Book of the Year) (2011), Goodreads Choice Award Nominee for Science Fiction (2009), Prix Une autre Terre (2013)
...less"
"1618238640-3656","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Gunslinger","https://www.goodreads.com/book/show/43615.The_Gunslinger","The Gunslinger","Stephen King","19,698
    reviews","533,647
  ratings","3.94","231 pages","Published
        July 2003
         by Plume

            
              (first published June 1st 1982)","Other books in the series","Horror","null","null"
"1618238564-3371","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Under the Never Sky (Under the Never Sky, #1)","https://www.goodreads.com/book/show/11594257-under-the-never-sky","Under the Never Sky","Veronica Rossi","8,908
    reviews","112,171
  ratings","3.99","374 pages","Published
        February 7th 2012
         by Atom

            
              (first published December 1st 2011)","Other books in the series","Adventure","Reverie","Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2012), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2012)"
"1618238588-3454","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The House of the Scorpion (Matteo Alacran, #1)","https://www.goodreads.com/book/show/13376.The_House_of_the_Scorpion","The House of the Scorpion","Nancy Farmer","6,485
    reviews","85,437
  ratings","4.06","380 pages","Published
        May 2004
         by Atheneum Books for Young Readers

            
              (first published 2002)","Other books in the series","Young Adult","null","Newbery Medal Nominee (2003), National Book Award for Young People's Literature (2002), Mythopoeic Fantasy Award Nominee for Children's Literature (2003), Buxtehuder Bulle (2003), Michael L. Printz Award Nominee (2003)
                      ...more
                          South Carolina Book Award for Junior Book Award (2006), Grand Canyon Reader Award for Teen Book (2005), Rhode Island Teen Book Award (2004), Dorothy Canfield Fisher Children's Book Award Nominee (2004), Pacific Northwest Library Association Young Reader's Choice Award for Senior (2005), Michigan Library Association Thumbs Up! Award Nominee (2003), Lincoln Award Nominee (2008), Missouri Gateway Readers Award Nominee (2005), Oklahoma Sequoyah Award for YA (2005)
...less"
"1618238525-3217","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Planet of the Apes","https://www.goodreads.com/book/show/414895.Planet_of_the_Apes","Planet of the Apes","Pierre Boulle","1,592
    reviews","34,912
  ratings","3.96","268 pages","Published
        May 29th 2001
         by Del Rey

            
              (first published 1963)","null","Cultural","null","null"
"1618238708-3906","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Ender's Game (Ender's Saga, #1)","https://www.goodreads.com/book/show/375802.Ender_s_Game","Ender's Game","Orson Scott Card","44,085
    reviews","1,177,825
  ratings","4.30","324 pages","Published
        September 30th 2004
         by Tor

            
              (first published 1985)","Other books in the series","Young Adult","null","Hugo Award for Best Novel (1986), Nebula Award for Best Novel (1985), Premi Ictineu for Millor novel·la traduïda (2014), Nébula (1985), Margaret A. Edwards Award (2008)"
"1618238573-3397","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Parable of the Sower (Earthseed, #1)","https://www.goodreads.com/book/show/52397.Parable_of_the_Sower","Parable of the Sower","Octavia E. Butler","8,017
    reviews","80,380
  ratings","4.17","345 pages","Published
        January 1st 2000
         by Grand Central Publishing

            
              (first published October 1993)","Other books in the series","Fantasy","California,
2025

(United States)","Nebula Award Nominee for Best Novel (1994), Locus Award Nominee for Best SF Novel (1995)"
"1618238640-3655","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Gunslinger","https://www.goodreads.com/book/show/43615.The_Gunslinger","The Gunslinger","Stephen King","19,698
    reviews","533,647
  ratings","3.94","231 pages","Published
        July 2003
         by Plume

            
              (first published June 1st 1982)","Other books in the series","Fiction","null","null"
"1618238645-3683","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Selection (The Selection, #1)","https://www.goodreads.com/book/show/10507293-the-selection","The Selection","Kiera Cass","53,131
    reviews","989,782
  ratings","4.12","336 pages","Published
        April 24th 2012
         by HarperTeen","Other books in the series","Young Adult","null","Lincoln Award Nominee (2015), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2012)"
"1618238561-3359","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Red Rising (Red Rising Saga, #1)","https://www.goodreads.com/book/show/15839976-red-rising","Red Rising","Pierce Brown","26,559
    reviews","268,228
  ratings","4.24","382 pages","Published
        January 28th 2014
         by Del Rey","Other books in the series","Audiobook","null","Goodreads Choice Award for Debut Goodreads Author & Nominee for Young Adult Fantasy & Science Fiction (2014) and Nominee for Best of the Best  (2018), Premio El Templo de las Mil Puertas for Mejor novela extranjera perteneciente a saga (2014)"
"1618238578-3414","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Dispossessed (Hainish Cycle, #6)","https://www.goodreads.com/book/show/13651.The_Dispossessed","The Dispossessed","Ursula K. Le Guin","6,151
    reviews","94,660
  ratings","4.20","387 pages","Published
        October 20th 1994
         by Harper Voyager

            
              (first published May 1974)","Other books in the series","Science Fiction","null","Hugo Award for Best Novel (1975), Nebula Award for Best Novel (1974), Prometheus Hall of Fame Award (1993), Locus Award for Best Novel (1975), Jupiter Award for Best Novel (1975)
                      ...more
                          John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (1975), Ditmar Award Nominee for Best International Long Fiction (1975), Premi Ictineu for Millor novel·la traduïda (2019)
...less"
"1618238512-3165","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Shades of Grey (Shades of Grey, #1)","https://www.goodreads.com/book/show/2113260.Shades_of_Grey","Shades of Grey","Jasper Fforde","4,258
    reviews","32,986
  ratings","4.15","400 pages","Published
        December 29th 2009
         by Penguin Group Viking Adult

            
              (first published November 6th 2009)","Other books in the series","Fiction","null","Locus Award Nominee for Best Fantasy Novel (2011), Warwick Prize for Writing Nominee for Longlist (2011), Prix Julia Verlanger (2012)"
"1618238668-3754","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Watchmen","https://www.goodreads.com/book/show/472331.Watchmen","Watchmen","Alan Moore","14,675
    reviews","499,362
  ratings","4.37","416 pages","Published
        2005
         by DC Comics

            
              (first published 1987)","Other books in the series","Sequential Art","New York City, New York,
1985

(United States)","Hugo Award for Other Forms (1988), Locus Award for Best Non-Fiction/Art (1988), Harvey Awards for Best Writer (for Alan Moore), Best Artist or Penciller (for Dave Gibbons), Best Continuing or Limited Series, Best Single Issue (""Watchmen #9""), Best Graphic Album, Best Colorist (for John Higgins) & Special Award for Excellence in Production  (1988), Prix du Festival d'Angoulême for Alph-art du meilleur album étranger (1989), Urhunden Prize for Foreign Album (1992)
                      ...more
                          Will Eisner Comic Industry Awards for Best Archival Collection/Project–Comic Books (in 2006 awards, for Absolute edition), Best Finite Series, Best Graphic Album, Best Writer (for Alan Moore), Best Writer/Artist (single or team) (for Alan Moore & Dave Gibbons) (1988), IGN Award for Best Collection (2005)
...less"
"1618238671-3768","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Do Androids Dream of Electric Sheep? (Blade Runner, #1)","https://www.goodreads.com/book/show/7082.Do_Androids_Dream_of_Electric_Sheep_","Do Androids Dream of Electric Sheep?","Philip K. Dick","14,006
    reviews","368,427
  ratings","4.08","244 pages","Published
        June 1996
         by Del Rey / Ballantine Books

            
              (first published 1968)","Other books in the series","Science Fiction","San Francisco, California

(United States)


    

    California

(United States)


    

    United States of America","Nebula Award Nominee for Best Novel (1968)"
"1618238553-3329","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Utopia","https://www.goodreads.com/book/show/18414.Utopia","Utopia","Thomas More","3,046
    reviews","61,967
  ratings","3.55","163 pages","Published
        May 6th 2003
         by Penguin Classics

            
              (first published 1516)","null","Science Fiction","null","null"
"1618238726-3976","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Giver (The Giver, #1)","https://www.goodreads.com/book/show/3636.The_Giver","The Giver","Lois Lowry","67,030
    reviews","1,884,450
  ratings","4.13","208 pages","Published
        January 24th 2006
         by Ember

            
              (first published April 26th 1993)","Other books in the series","Classics","null","Newbery Medal (1994), Mythopoeic Fantasy Award Nominee for Children's Literature (1994), Golden Duck Award for Young Adult (Hal Clement Award) (1994), Garden State Book Award for Teen Fiction Grades 6-8 (1996), Buckeye Children's Book Award for Grade 6-8 (1997)
                      ...more
                          Grand Canyon Reader Award for Teen Book (1995), Maryland Black-Eyed Susan Book Award for Grade 6-9 (1995), Golden Sower Award for Young Adult (1995), Pennsylvania Young Readers' Choice Award for Grades 3-8 (1995), Soaring Eagle Book Award Nominee (1996), Pacific Northwest Library Association Young Reader's Choice Award for Senior (1996), Boston Globe-Horn Book Award Nominee for Fiction (1993), New Mexico Land of Enchantment Award (1997), Eliot Rosewater Indiana High School Book Award (1997), William Allen White Children's Book Award (1996), Wyoming Indian Paintbrush Nominee (1996), NSK Neustadt Prize for Children's Literature Nominee (2013), Oklahoma Sequoyah Award for YA (1996), Rebecca Caudill Young Readers' Book Award (1996), Hea Lasteraamat (2010), Premi Protagonista Jove for Categoria 13-14 anys (2016), Margaret A. Edwards Award (2007)
...less"
"1618238581-3433","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Across the Universe (Across the Universe, #1)","https://www.goodreads.com/book/show/8235178-across-the-universe","Across the Universe","Beth Revis","10,354
    reviews","116,255
  ratings","3.77","399 pages","Published
        January 11th 2011
         by Razorbill","Other books in the series","Adventure","Godspeed

    

    United States of America

    

    Earth

    

    …more
          Outer Space

        

…less","Rhode Island Teen Book Award Nominee (2013), Lincoln Award Nominee (2014), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Goodreads Author (2011), Carnegie Medal Nominee (2012)"
"1618238645-3674","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Selection (The Selection, #1)","https://www.goodreads.com/book/show/10507293-the-selection","The Selection","Kiera Cass","53,131
    reviews","989,782
  ratings","4.12","336 pages","Published
        April 24th 2012
         by HarperTeen","Other books in the series","Young Adult","null","Lincoln Award Nominee (2015), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2012)"
"1618238519-3196","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Blood Red Road (Dust Lands, #1)","https://www.goodreads.com/book/show/9917938-blood-red-road","Blood Red Road","Moira Young","5,828
    reviews","61,335
  ratings","3.90","459 pages","Published
        June 7th 2011
         by Margaret K. McElderry Books","Other books in the series","Fantasy","null","Locus Award Nominee for Best First Novel (2012), Sunburst Award Nominee for Young Adult (2012), Costa Book Award for Children's Book (2011), Teen Buckeye Book Award Nominee (2012), Milwaukee County Teen Book Award Nominee (2012)
                      ...more
                          Amelia Elizabeth Walden Award Nominee (2012), CYBILS Award for Fantasy & Science Fiction (Young Adult) (2011), Carnegie Medal Nominee (2012), Sheila A. Egoff Children’s Literature Prize (2012), FAB Award (2013)
...less"
"1618238578-3421","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Dispossessed (Hainish Cycle, #6)","https://www.goodreads.com/book/show/13651.The_Dispossessed","The Dispossessed","Ursula K. Le Guin","6,151
    reviews","94,660
  ratings","4.20","387 pages","Published
        October 20th 1994
         by Harper Voyager

            
              (first published May 1974)","Other books in the series","Politics","null","Hugo Award for Best Novel (1975), Nebula Award for Best Novel (1974), Prometheus Hall of Fame Award (1993), Locus Award for Best Novel (1975), Jupiter Award for Best Novel (1975)
                      ...more
                          John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (1975), Ditmar Award Nominee for Best International Long Fiction (1975), Premi Ictineu for Millor novel·la traduïda (2019)
...less"
"1618238581-3432","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Across the Universe (Across the Universe, #1)","https://www.goodreads.com/book/show/8235178-across-the-universe","Across the Universe","Beth Revis","10,354
    reviews","116,255
  ratings","3.77","399 pages","Published
        January 11th 2011
         by Razorbill","Other books in the series","Young Adult","Godspeed

    

    United States of America

    

    Earth

    

    …more
          Outer Space

        

…less","Rhode Island Teen Book Award Nominee (2013), Lincoln Award Nominee (2014), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Goodreads Author (2011), Carnegie Medal Nominee (2012)"
"1618238483-3064","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Cloud Atlas","https://www.goodreads.com/book/show/49628.Cloud_Atlas","Cloud Atlas","David Mitchell","19,825
    reviews","226,342
  ratings","4.00","509 pages","Published
        August 17th 2004
         by Random House

            
              (first published March 2004)","null","Fiction","null","Booker Prize Nominee (2004), Nebula Award Nominee for Best Novel (2004), Locus Award Nominee for Best SF Novel (2005), Arthur C. Clarke Award Nominee (2005), James Tait Black Memorial Prize Nominee for Fiction (2004)
                      ...more
                          British Book Award for Best Read of the Year (2005), National Book Critics Circle Award Nominee for Fiction (2004), Geoffrey Faber Memorial Prize (2005), Tähtivaeltaja Award Nominee (2009), The Rooster -- The Morning News Tournament of Books (2005)
...less"
"1618238683-3813","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Oryx and Crake (MaddAddam, #1)","https://www.goodreads.com/book/show/46756.Oryx_and_Crake","Oryx and Crake","Margaret Atwood","13,951
    reviews","231,236
  ratings","4.01","389 pages","Published
        March 30th 2004
         by Anchor Books

            
              (first published April 22nd 2003)","Other books in the series","Novels","null","Booker Prize Nominee (2003), Orange Prize Nominee for Fiction Shortlist (2004), Sunburst Award Nominee for Canadian Novel (2004), Scotiabank Giller Prize Nominee (2003), Grand Prix de l'Imaginaire Nominee for Roman étranger (2006)"
"1618238532-3252","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Darkest Minds (The Darkest Minds, #1)","https://www.goodreads.com/book/show/10576365-the-darkest-minds","The Darkest Minds","Alexandra Bracken","16,969
    reviews","159,311
  ratings","4.17","488 pages","Published
        December 18th 2012
         by Disney Hyperion","Other books in the series","Young Adult","null","Lincoln Award Nominee (2016), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2013)"
"1618238490-3093","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Dune (Dune, #1)","https://www.goodreads.com/book/show/44767458-dune","Dune","Frank Herbert","28,056
    reviews","843,135
  ratings","4.23","688 pages","Published
        October 1st 2019
         by Ace Books

            
              (first published June 1965)","Other books in the series","Adult","null","Hugo Award for Best Novel (1966), Nebula Award for Best Novel (1965), Seiun Award 星雲賞 for Best Foreign Novel (1974)"
"1618238661-3730","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Wool Omnibus (Silo, #1)","https://www.goodreads.com/book/show/13453029-wool-omnibus","Wool Omnibus","Hugh Howey","13,760
    reviews","167,105
  ratings","4.20","509 pages","Published
        January 25th 2012
         by Broad Reach Publishing","Other books in the series","Science Fiction","null","Tähtivaeltaja Award Nominee (2014), Prix des libraires du Québec (2015), Bookworm Best Award for People's Pick (2013), Goodreads Choice Award Nominee for Science Fiction and for Goodreads Author (2012)"
"1618238674-3783","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Legend (Legend, #1)","https://www.goodreads.com/book/show/9275658-legend","Legend","Marie Lu","29,873
    reviews","434,825
  ratings","4.16","305 pages","Published
        November 29th 2011
         by Putnam Juvenile","Other books in the series","Action","null","Rhode Island Teen Book Award Nominee (2013), Milwaukee County Teen Book Award Nominee (2013), The Inky Awards Nominee for Silver Inky (2012), California Young Readers Medal Nominee for Young Adult (2015), Lincoln Award Nominee (2014)
                      ...more
                          Missouri Truman Readers Award (2014), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Goodreads Author (2012), Rebecca Caudill Young Readers' Book Award (2015)
...less"
"1618238470-3015","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Ship Breaker (Ship Breaker, #1)","https://www.goodreads.com/book/show/7095831-ship-breaker","Ship Breaker","Paolo Bacigalupi","4,485
    reviews","43,650
  ratings","3.73","326 pages","Published
        May 1st 2010
         by Little, Brown Books for Young Readers","Other books in the series","Science Fiction","New Orleans, Louisiana

(United States)","Locus Award for Best Young Adult Book (2011), Kurd-Laßwitz-Preis Nominee for Bestes ausländisches Werk (2013), Golden Duck Award Nominee for Young Adult (Hal Clement Award) (2011), Romantic Times Reviewers' Choice Award (RT Award) Nominee for Best Young Adult Paranormal/Fantasy Novel (2010), Michael L. Printz Award (2011)
                      ...more
                          Rhode Island Teen Book Award Nominee (2012), Lincoln Award Nominee (2013), Andre Norton Award Nominee (2010), CYBILS Award Nominee for Young Adult Fantasy & Science Fiction (2010), National Book Award Finalist for Young People's Literature (2010), Missouri Gateway Readers Award Nominee (2013)
...less"
"1618238480-3055","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Stranger in a Strange Land","https://www.goodreads.com/book/show/350.Stranger_in_a_Strange_Land","Stranger in a Strange Land","Robert A. Heinlein","8,309
    reviews","282,233
  ratings","3.92","525 pages","Published
        October 1st 1991
         by Ace

            
              (first published July 1961)","null","Fiction","null","Hugo Award for Best Novel (1962), Prometheus Hall of Fame Award (1987)"
"1618238619-3580","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Blindness","https://www.goodreads.com/book/show/2526.Blindness","Blindness","José Saramago","17,528
    reviews","216,124
  ratings","4.14","326 pages","Published
        October 4th 1999
         by Houghton Mifflin Harcourt Publishing Company

            
              (first published 1995)","Other books in the series","Cultural","null","Premio San Clemente for Novela Estranxeira (1999), International Dublin Literary Award Nominee (1999)"
"1618238542-3291","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Swan Song","https://www.goodreads.com/book/show/11557.Swan_Song","Swan Song","Robert R. McCammon","3,735
    reviews","57,129
  ratings","4.28","956 pages","Published
        June 1st 1987
         by Pocket Books

            
              (first published 1987)","null","Thriller","null","Bram Stoker Award for Best Novel (1987), World Fantasy Award Nominee for Best Novel (1988), Japan Adventure Fiction Association Prize 日本冒険小説協会大賞特別賞 for Best Translated Novel (1994)"
"1618238604-3514","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Neuromancer (Sprawl, #1)","https://www.goodreads.com/book/show/6088007-neuromancer","Neuromancer","William Gibson","10,123
    reviews","272,505
  ratings","3.90","292 pages","Published
        July 1st 2000
         by Ace

            
              (first published July 1984)","Other books in the series","Science Fiction","Chiba, Tokyo

(Japan)","Hugo Award for Best Novel (1985), Nebula Award for Best Novel (1984), Locus Award Nominee for Best First Novel and Best SF Novel (1985), British Science Fiction Association Award Nominee for Best Novel (1984), Philip K. Dick Award (1985)
                      ...more
                          John W. Campbell Memorial Award Nominee (1985), Ditmar Award for Best International Long Fiction (1985), SF Chronicle Award for Novel (1985), Tähtivaeltaja Award (1992), Prix Aurora Award Nominee (1985), Seiun Award 星雲賞 for Best Translated Long Story (1987)
...less"
"1618238677-3789","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","World War Z: An Oral History of the Zombie War","https://www.goodreads.com/book/show/8908.World_War_Z","World War Z: An Oral History of the Zombie War","Max Brooks","26,240
    reviews","459,144
  ratings","4.01","342 pages","Published
        September 12th 2006
         by Crown","Other books in the series","Apocalyptic","null","Audie Award for Multi-Voiced Performance (2014), Premio Ignotus Nominee for Mejor novela extranjera (Best Foreign Novel) (2009), Lincoln Award Nominee (2012), Seiun Award 星雲賞 Nominee for Best Translated Long Form (2011)"
"1618238566-3381","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Station Eleven","https://www.goodreads.com/book/show/20170404-station-eleven","Station Eleven","Emily St. John Mandel","40,680
    reviews","348,271
  ratings","4.05","333 pages","Published
        September 9th 2014
         by Knopf","null","Adult Fiction","Toronto, Ontario

(Canada)


    

    Michigan

(United States)","Locus Award Nominee for Best SF Novel (2015), Arthur C. Clarke Award (2015), Kurd-Laßwitz-Preis Nominee for Bestes ausländisches Werk (Best Foreign Work) (2016), PEN/Faulkner Award for Fiction Nominee (2015), Sunburst Award Nominee for Adult (2015)
                      ...more
                          John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (2015), British Fantasy Award Nominee for Best Horror Novel (August Derleth Award) (2015), NAIBA Book of the Year for Fiction (2015), Toronto Book Award Nominee (2015), The Great Michigan Read (2015), Women's Prize for Fiction Nominee for Longlist (2015), Andrew Carnegie Medal Nominee for Fiction (2015), National Book Award Finalist for Fiction (2014), Goodreads Choice Award Nominee for Fiction (2014), The Rooster -- The Morning News Tournament of Books (2015)
...less"
"1618238594-3478","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Long Walk","https://www.goodreads.com/book/show/9014.The_Long_Walk","The Long Walk","Richard Bachman","7,735
    reviews","135,469
  ratings","4.08","370 pages","Published
        April 1st 1999
         by Signet

            
              (first published July 1979)","null","Science Fiction","null","null"
"1618238649-3686","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Battle Royale","https://www.goodreads.com/book/show/57891.Battle_Royale","Battle Royale","Koushun Takami","5,209
    reviews","66,848
  ratings","4.16","617 pages","Published
        February 26th 2003
         by VIZ, LLC

            
              (first published April 21st 1999)","null","Horror","null","null"
"1618238629-3620","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Knife of Never Letting Go (Chaos Walking, #1)","https://www.goodreads.com/book/show/20758104-the-knife-of-never-letting-go","The Knife of Never Letting Go","Patrick Ness","17,884
    reviews","166,899
  ratings","3.97","512 pages","Published
        July 22nd 2014
         by Candlewick Press

            
              (first published May 5th 2008)","Other books in the series","Young Adult","New World","Guardian Children's Fiction Prize (2008), Manchester Book Award  Nominee for Longlist (2009), Odyssey Award Nominee (2011), James Tiptree Jr. Award (2008), Milwaukee County Teen Book Award Nominee (2010)
                      ...more
                          Dioraphte Jongerenliteratuurprijs Nominee (2014), Carnegie Medal Nominee (2009), Green Mountain Book Award (2012)
...less"
"1618238514-3182","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","A Scanner Darkly","https://www.goodreads.com/book/show/14817.A_Scanner_Darkly","A Scanner Darkly","Philip K. Dick","3,246
    reviews","93,384
  ratings","4.01","219 pages","Published
        August 17th 2006
         by Gollancz

            
              (first published January 1977)","null","Mystery","null","Locus Award Nominee for Best SF Novel (1978), British Science Fiction Association Award for Novel (1978), John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (1978), Graoully d'Or for Roman étranger (1979), Tähtivaeltaja Award (1991)"
"1618238721-3960","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Brave New World","https://www.goodreads.com/book/show/5129.Brave_New_World","Brave New World","Aldous Huxley","32,941
    reviews","1,508,925
  ratings","3.99","268 pages","Published
        September 1st 1998
         by HarperPerennial / Perennial Classics

            
              (first published 1932)","null","Academic","null","null"
"1618238477-3044","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Gate to Women's Country","https://www.goodreads.com/book/show/104344.The_Gate_to_Women_s_Country","The Gate to Women's Country","Sheri S. Tepper","784
    reviews","12,470
  ratings","4.06","315 pages","Published
        1999
         by Voyager

            
              (first published November 1st 1987)","null","Science Fiction","null","Locus Award for Best Fantasy Novel (1992), Arthur C. Clarke Award Nominee (1998)"
